,Type,Activity,Sex ,Age,Injury,Fatal (Y/N),Species ,Injuries,Species
3901,Invalid,Splashing ,M,10,Abdomen abraded,,Shark involvement not confirmed,Injured,Regular Shark
3902,Provoked,Spearfishing,M,,Speared shark bit Davy's ankle &  Pierpont's right leg  PROVOKED INCIDENT,N,"Wobbegong shark, 1.4 m [4'6""] ",Injured,Regular Shark
3903,Unprovoked,Swimming,M,37,"Multiple injuries to both hands, left leg & foot",N,Zambesi shark,Injured,Regular Shark
3904,Provoked,Diving,M,,Shark bit swimfin after diver kicked shark PROVOKED INCIDENT,N,"2 m  ""yellow belly"" captive shark. Shark destroyed by aquarium staff next day",Injured,Regular Shark
3905,Unprovoked,Spearfishing,M,22,Thigh bitten,N,"Tiger shark, 3 m [10']",Injured,Tiger Shark
3906,Provoked,Spearfishing,M,21,Speared shark bit his foot  PROVOKED INCIDENT,N,"Wobbegong shark, O. barbatus,  1.8 m [6'], identified by G.P. Whitley",Injured,Regular Shark
3907,Unprovoked,"Checking fish traps, fell into the water",M,40,Tiny cuts & bruises on neck  ,N," ""gummy"" shark (Rhizoprionodon or Loxodon) 1.2 m [4']",Injured,Regular Shark
3908,Unprovoked,"Swimming, using bundles of sticks as raft",M,38,"FATAL, extensive abdominal wounds, died 4 days later  ",Y,Zambesi shark,Injured,Regular Shark
3909,Sea Disaster,Cargo ship Dara sank after collision with another ship during a severe storm,,,Some of the survivors said to have been bitten by sharks,Y,,Injured,Regular Shark
3911,Provoked,Spearfishing,M,,Speared shark bit his arm & seat of pants of diving suit  PROVOKED INCIDENT,N,"Wobbegong shark, 1.4 m [4.6'] ",Injured,Regular Shark
3912,Unprovoked,Spearfishing,M,24,"Shark took his entire catch, lacerated his knee and tore his wet suit as it brushed past him",N,"Bronze whaler shark, 2.4 m [8'] Identified by Clyde Buttery",Injured,Regular Shark
3913,Unprovoked,Swimming,M,24,"Abdomen & arm bitten. Shark, holding him by the arm, leapt 4' to 5' above the surface",N,3 m [10'] shark,Injured,Regular Shark
3914,Provoked,Fishing from dinghy,F,,Hooked shark hauled on board bit her foot PROVOKED INCIDENT,N,,Injured,Regular Shark
3915,Unprovoked,Spearfishing,M,21,Left leg bitten  & left forearm lacerated,N,"White shark, 3.7 m [12'] ",Injured,White Shark
3916,Unprovoked,Free diving,M,33,Right elbow bitten,N,"Grey reef shark, 1.8 m [6'] grey reef shark, identified by Dr. L.P. L. Schultz based on photographs; identified as C. melanopterus by Stewart",Injured,Regular Shark
3917,Provoked,Fishing,M,44,Landed shark in boat bit his left leg  PROVOKED INCIDENT,N,"Zambesi shark, 4'9""",Injured,Regular Shark
3918,Unprovoked,Floating on back,M,,Right forearm bitten,N,,Injured,Regular Shark
3919,Provoked,Cleaning a tank,M,30,Thumb lacerated by captive shark PROVOKED INCIDENT,N,,Injured,Regular Shark
3920,Unprovoked,Standing,F,,"Ankle bitten by small gummy shark, minor injury",N,"2' ""banjo shark""",Injured,Regular Shark
3921,Unprovoked,,M,,FATAL,Y,,Injured,Regular Shark
3922,Unprovoked,"Spearfishing, shark grabbed his white t-shirt and towed him ",M,27,Torso bruised & abraded ,N,1.5 m [5'] shark,Injured,Regular Shark
3923,Unprovoked,Swimming,M,14,"FATAL, multiple injuries to both legs, feet & left arm  ",Y,"2.1 m [7'], 90-kg shark",Injured,Regular Shark
3925,Invalid,,M,,Considered a doubtful incident,,Questionable incident,Injured,Regular Shark
3927,Unprovoked,Swimming,M,15,Left thigh bitten ,N,White shark,Injured,White Shark
3928,Provoked,Collecting aquarium specimens,M,27,Right calf  bitten by lassoed shark on deck of surf ski PROVOKED INCIDENT,N,"Wobbegong shark, 1.5 m [5'] ",Injured,Regular Shark
3929,Unprovoked,Standing,M,13,"Right foot, leg and hand bitten",N,"White shark, based on bite pattern",Injured,White Shark
3930,Sea Disaster,Pacific Seafarer of US Navy,,,"3 were lost, 3 survived",Y,,Injured,Regular Shark
3931,Provoked,Fishing,M,,Finger bitten by hooked shark PROVOKED INCIDENT,N,"Hammerhead shark, 1.8 m [6'] ",Injured,Regular Shark
3932,Unprovoked,Swimming,M,,Leg bitten ,N,Six Zambesi sharks seen to 1.5 m [5'] in length,Injured,Regular Shark
3933,Unprovoked,Standing,M,25 or 28,"Lower left leg bitten, abrasions on back of right leg",N,,Injured,Regular Shark
3934,Invalid,,,,Human remains (patella & remnants of black swim suit) found in 147-kg raggedtooth shark,,Shark involvement prior to death was not confirmed,Injured,Regular Shark
3937,Unprovoked,Taking boat from California to Florida when it ran aground & he was swimming back to boat,M,,Leg bitten,N,1.8 m [6'] shark,Injured,Regular Shark
3938,Unprovoked,Spearfishing,,,Arm injured,N,,Injured,Regular Shark
3939,Unprovoked,Free diving for molluscs,M,20,FATAL,Y,> 3 m shark,Injured,Regular Shark
3940,Sea Disaster,Light aircraft ditched at sea,,,3 of the 4 passengers killed by sharks,Y,,Injured,Regular Shark
3941,Unprovoked,Swept out to sea while net fishing,M,,"FATAL  Shark seen attacking Riley, body recovered off Nanakuli",Y,,Injured,Regular Shark
3942,Unprovoked,,F,27,"Shark brushed past, minor injuries if any", N,3 m [10'] shark,Injured,Regular Shark
3943,Unprovoked,Swimming,M,25,"FATAL, legs severed ",Y,"White shark, 3 m [10'], tooth fragment from wounds identified as that of a white shark",Injured,White Shark
3944,Unprovoked,"Fishing, when line became snagged on rock & he dived into water to free it ",M,33,Left thigh lacerated, N,"Grey nurse shark, 1m ",Injured,Regular Shark
3945,Unprovoked,Fishing,M,,Bitten & survived,N,"Bull shark, 1m ",Injured,Regular Shark
3946,Unprovoked,Swimming,M,41,Right shoulder lacerated, N,3' shark,Injured,Regular Shark
3947,Invalid,"Fell overboard, prop slashed arm",F,51,"FATAL, probable drowning & post mortem scavenging",,Shark involvement prior to death was not confirmed,Injured,Regular Shark
3948,Provoked,Chasing shark out of bathing area while riding on a surf-ski,M,17,"Shark knocked him off surf-ski, he inhaled water & had to be resuscitated PROVOKED INCIDENT", N,,Injured,Regular Shark
3949,Unprovoked,"Spearfishing, speared fish retreated to cave where shark grabbed his arm",M,24,Scratches on right upper arm, N,"Wobbegong shark, 1.8 m [6'] ",Injured,Regular Shark
3951,Provoked,,M,,Left wrist bitten by netted shark placed in bottom of dinghy PROVOKED INCIDENT, N,"1.4 m [4'6""] blacktip shark",Injured,Regular Shark
3952,Unprovoked,Fishing,M,,"FATAL, severely bitten genitals & thighs ",Y,,Injured,Regular Shark
3955,Invalid,Fishing,M,24,"Swept off rocks & presumed to have drowned, shark seen in area",,Shark involvement not confirmed,Injured,Regular Shark
3956,Unprovoked,Collecting shells,M,26,Injuries to leg & foot, N,,Injured,Regular Shark
3957,Sea Disaster,Cargo ship El Gamil entroute Suez to Yemen (Aden) when her cargo shifted and she sank. 19 Egyption sailors jumped into the water and swam for several hours before being bitten by sharks,M,,"Sharks attacked sailors in the water, several survivors picked up",Y,,Injured,Regular Shark
3958,Invalid,Diving,M,,"Apparently went missing while diving. Helicopter searching for him spotted school of sharks attacking a ""white object"" 15' below the surface",,Questionable incident,Injured,Regular Shark
3959,Boat,Fishing,,,"Shark rammed boat, breaching its hull",N,"White shark, 18 mm tooth fragment  recovered from the hull",Injured,White Shark
3961,Provoked,Fishing inside net,M,,"Multiple superficial lacerations of leg, arm & hand PROVOKED INCIDENT",N,"2.4 m [8'], 600-lb shark",Injured,Regular Shark
3962,Sea Disaster,R5D aircraft went down with 29 on board,M,,One body sighted but not recovered due to shark activity,N,,Injured,Regular Shark
3966,Unprovoked,Swimming 3 miles offshore,M,25,Right leg severely lacerated,N,,Injured,Regular Shark
3967,Sea Disaster,Air disaster: crash of Air France Super Constellation ,,,All 63 on board perished when the aircraft hit the water. Sharks hampered retrieval of bodies,Y,,Injured,Regular Shark
3968,Invalid,Aircraft crashed into sea,M,,"Partial human remains spotted by helicopter, shark involvement, if any, may have been post-mortum",,Shark involvement prior to death was not confirmed,Injured,Regular Shark
3969,Unprovoked,Free diving,M,38,Superficial laceration of left arm,N,,Injured,Regular Shark
3970,Unprovoked,Free-diving,M,,Lost left arm,N,,Injured,Regular Shark
3971,Unprovoked,,M,14,Knee ripped to bone,N,,Injured,Regular Shark
3972,Unprovoked,Standing in knee-deep water,M,24,"Lower right leg bitten, surgically amputated 10 days later",N,,Injured,Regular Shark
3973,Invalid,boat with 46 people on board capsized,,,1  survivor,,Shark involvement not confirmed,Injured,Regular Shark
3974,Provoked,Holding shark on leader & dangling it above the water,M,15,Right hand bitten by hooked shark PROVOKED INCIDENT,N,"Lemon shark, 1164 mm, immature male, identified by  V.G. Springer",Injured,Regular Shark
3975,Provoked,Helping angler land a shark,M,25,Arm lacerated elbow to wrist PROVOKED INCIDENT,N,80-lb hooked shark,Injured,Regular Shark
3976,Unprovoked,"Fishing, Struck by another shark when removing shark from line",M,46,Hand lacerated,N,2.4 m [8'] shark,Injured,Regular Shark
3977,Unprovoked,Swimming from camp,M,,FATAL,Y,,Injured,Regular Shark
3978,Unprovoked,Spearfishing,M,25,"Arm severed, torso severely  lacerated",N,,Injured,Regular Shark
3979,Unprovoked,Pulling raft out to ride to shore,M,17,Leg bitten,N,,Injured,Regular Shark
3980,Provoked,"Fishing, tossing netted shark onboard",M,41,Right arm bitten  PROVOKED INCIDENT,N,"""sand shark""",Injured,Regular Shark
3981,Unprovoked,Fishing,M,,Right buttock slashed,N,,Injured,Regular Shark
3982,Provoked,Surf fishing,M,,"Lacerations to calf, wrist & thumb by hooked shark. PROVOKED INCIDENT",N,7' shark,Injured,Regular Shark
3983,Provoked,Shark fishing,,,Harpooned shark bit boat PROVOKED INCIDENT,N,"White shark, 15'2"" ",Injured,White Shark
3984,Provoked,Fishing,M,18,Right arm bitten by shark taken onboard in net PROVOKED INCIDENT,N,"""A small shark""",Injured,Regular Shark
3986,Invalid,"Testing classified underwater electronic gear for Raytheon Corporation, vessel torn apart by explosion",M,"37, 67, 35, 27,  ? & 27","Legs & arms bitten, coroner unable to determine if injuries occurred before death.",,Shark involvement prior to death was not confirmed,Injured,Regular Shark
3987,Unprovoked,"Diving for shells, saw shark circling wife near the surface, intercepted shark & it pulled him beneath the water",M,58,"FATAL, body not recovered",Y,,Injured,Regular Shark
3988,Unprovoked,Swimming,M,24,Lower left leg & foot bitten,N,,Injured,Regular Shark
3989,Unprovoked,"Spearfishing, free diving, possibly ascended into path of cruising shark",M,27,Face lacerated,N,,Injured,Regular Shark
3990,Unprovoked,Free diving but treading water at surface,M,25,Foot bitten,N,"Dusky shark, 2.7 m [9'] dusky shark C. obscurus identified by S. Springer on tooth recovered",Injured,Regular Shark
3991,Unprovoked,Swimming ,F,16,"Left leg bitten, surgically amputated below the knee",N,"White shark, 4 m to 5 m [13' to 16.5'] ",Injured,White Shark
3993,Unprovoked,,,,FATAL,Y,,Injured,Regular Shark
3994,Unprovoked,Treading water,M,16,Multiple major injuries,N,"White shark, 2.1 m [7']  based on tooth pattern",Injured,White Shark
3995,Unprovoked,Skindiving for abalone (but at surface),M,48,Foot & swim fin bitten ,N,"White shark, 4.9 m [16'] ",Injured,White Shark
3996,Provoked,"Fishing, hauling in a set line",M,,4 fingers of left hand were lacerated by shark he had shot in the head PROVOKED INCIDENT,N,"Bronze whaler shark, 3 m [10'], 200-lb",Injured,Regular Shark
3997,Provoked,Fishing,M,,Gaffed shark bit his ankle PROVOKED INCIDENT,N,"Raggedtooth shark, 100-lb ",Injured,Regular Shark
3999,Unprovoked,Surfing,M,17,Right arm & side bruised,N,"White shark, 3.7 m [12'] ",Injured,White Shark
4000,Provoked,"Spearfishing, shot a sandtiger shark. Cord to spear tangled round his legs & a wave washed him onto a reef.",M,,"Bruises & minor injuries from reef, not the shark PROVOKED INCIDENT",N,"Sandtiger shark, 2.1 m [7'] ",Injured,Regular Shark
4001,Unprovoked,Spearfishing,M,,Minor cuts & bruises on face & neck,N,1.5 m [5'] shark,Injured,Regular Shark
4002,Unprovoked,"Speared a grouper, saw shark but it came for him instead of the fish so he fired spear into sharks mouth. Then shark took grouper but unable to swallow because of the spear in its mouth.",M,,Minor injuries to hand,N,"Bronze whaler shark, 3.7 m [12'] identified by G.P. Whitley based on description",Injured,Regular Shark
4003,Provoked,Shark fishing,,,Hooked shark bit stern  PROVOKED INCIDENT,N,White shark,Injured,White Shark
4004,Unprovoked,Fishing in shoulder-deep water,F,,"FATAL, legs bitten ",Y,,Injured,Regular Shark
4005,Provoked,"Fishing, hooked shark towed boat out to sea, storm swamped boat",M,,"FATAL, due to drowning PROVOKED INCIDENT",Y,,Injured,Regular Shark
4006,Boat,Fishing,,,Shark rammed boat & bit transom,N,White shark (tooth fragments recovered),Injured,White Shark
4007,Unprovoked,Treading water,M,42,"Ankle bitten, hand injured while striking shark",N,"1.2 m [4'], possibly  larger shark",Injured,Regular Shark
4008,Unprovoked,"Spearfishing, carrying fish on belt",M,44,Thigh bitten,N,1.2 m [4'] shark,Injured,Regular Shark
4011,Invalid,Spearfishing,M,36,Left forearm lacerated,,"According to Benjamin, the injury was inflicted by a barracuda, not a shark",Injured,Regular Shark
4012,Provoked,Fishing,M,,Calf bitten by shark caught in net PROVOKED INCIDENT,N,,Injured,Regular Shark
4013,Unprovoked,Spearfishing,M,26,"FATAL, legs bitten ",Y,"Tiger shark, 3.4 m [11'] captured",Injured,Tiger Shark
4017,Unprovoked,,M,,"Lower left leg bitten, surgically amputated",N,"3.5 m [11'6""] shark captured",Injured,Regular Shark
4018,Sea Disaster,Portuguese Airliner with 9 people aboard went down. ,,,"As searchers approached wreckage, sharks circled one canoe & seized oar from another.",N,,Injured,Regular Shark
4020,Unprovoked,Free diving,M,13,"FATAL, right leg severed above knee, surgically amputated but died 9 days later ",Y,Bull shark,Injured,Regular Shark
4021,Provoked,"Fishing, lifting shark out of craypot",M,,Upper leg bitten PROVOKED INCIDENT,N,Wobbegong shark,Injured,Regular Shark
4023,Provoked,"Standing, watching seine netters",F,,Left leg bitten by shark that escaped net  PROVOKED INCIDENT,N,,Injured,Regular Shark
4024,Unprovoked,Bathing,M,,Survived,N,3.7 m to 4.6 m [12' to 15'] shark,Injured,Regular Shark
4025,Unprovoked,Spearfishing,M,9,Toe bitten,N,,Injured,Regular Shark
4026,Invalid,Aircraft crashed into sea,M,,"Questionable. Recovered flight gear was ""completely shredded by sharks"" but pilot may have died when plane hit the water,",,Shark involvement prior to death was not confirmed,Injured,Regular Shark
4029,Unprovoked,Spearfishing,M,,"Right arm abraded, circular piece of tissue removed from left calf",N,,Injured,Regular Shark
4030,Unprovoked,"Spear fishing, removing fish from spear",M,16,"FATAL, foot severed, hip bitten",Y,,Injured,Regular Shark
4031,Unprovoked,Fishing,M,20,Slight lacerations to leg,N,,Injured,Regular Shark
4032,Unprovoked,Swimming,F,5,FATAL,Y,,Injured,Regular Shark
4033,Unprovoked,Wading,F,,"Heel lacerated, hand lacerated & abraded",N,2.1 m [7'] shark,Injured,Regular Shark
4036,Unprovoked,Swimming underneath house on pilings,,13,"FATAL, right leg severed",Y,,Injured,Regular Shark
4037,Unprovoked,Dived from dinghy to retrieve oar in heavy seas,M,29,FATAL,Y,,Injured,Regular Shark
4038,Sea Disaster,ship M.V. Rizal sank during typhoon,M,,"65 people survived, 27 perished. Several people were bitten & one man lost his leg to a shark.",Y,,Injured,Regular Shark
4039,Provoked,"Spearfishing, Smith  & Walker touched shark with tip of their guns",M,17 & 35,"Smith hit by tail of shark, Walker sustained cuts on his  wrist PROVOKED INCIDENT",N,2.7 m [9']  shark,Injured,Regular Shark
4042,Sea Disaster,17 Maldivians adrift in open boat for 31 days,F,3,FATAL,Y,,Injured,Regular Shark
4043,Unprovoked,Body surfing,M,19,"Thighs bitten, right hand lacerated",N,3.5 m [11.5'] shark,Injured,Regular Shark
4044,Unprovoked,Standing in chest-deep water,M,17,Right foot lacerated,N,"""a small shark""",Injured,Regular Shark
4045,Unprovoked,Trailing the field in a surf race,M,19,"Lower left leg bittten, hand abraded",N,3 m to 4.3 m [10' to 14'] shark,Injured,Regular Shark
4046,Invalid,National Airlines DC7B enroute from Miami to Los Angeles with 42 or 46 people on board went down in heavy fog,,,Body recovery efforts were hampered by large sharks but sharks did not cause the deaths. ,,Invalid,Injured,Regular Shark
4047,Boat,Fishing for tunny,,,R. Roberts' leg was bruised when shark leapt into boat,N,"Thresher shark, 3.7 m [12'] ",Injured,Regular Shark
4049,Unprovoked,Swimming at surface through school of feeding 2.5' to 5 sharks,M,21,Forearm bitten,N,"Blue shark, 1.5 m [5'] ",Injured,Regular Shark
4051,Provoked,Fishing,M,,Both hands bitten while helping companion land speared shark PROVOKED INCIDENT,N,,Injured,Regular Shark
4052,Unprovoked,Swimming,M,X,"FATAL, died in Lourenco Marques Hospital",Y,,Injured,Regular Shark
4053,Unprovoked,,,,Thigh bitten,N,,Injured,Regular Shark
4054,Unprovoked,Diving for abalone,M,30,"Ankle twisted, swim fin bitten",N,"White shark, 5 m [16.5'], identified by Dr. W. I. Follett on tooth marks",Injured,White Shark
4055,Unprovoked,Dived overboard to retrieve dinghy,M,,"FATAL, body not recovered",Y,4.3 m [14'] shark,Injured,Regular Shark
4056,Unprovoked,Spearfishing,M,36,forearm abraded,N,"Tiger shark, 1.8 m [6']",Injured,Tiger Shark
4058,Invalid,,F,29,"Murdered, body scavenged by sharks",,Shark involvement prior to death was not confirmed,Injured,Regular Shark
4059,Sea Disaster,"Adrift, hanging onto cushion, after his 17' skiff ran out of gas & capsized 3 miles from shore",M,30,"During the night both hands and feet were bitten, rescued next day after spending 17 hours in the sea.",N,"A hammerhead shark, then 8 to 10 other sharks were said to be  involved",Injured,Regular Shark
4060,Boat,Gigging for flounder,,,,UNKNOWN,"Said to involve white shark, but species identify questionable",Injured,White Shark
4062,Unprovoked,,,,"5 fatalities, 30 injured",Y,6' shark,Injured,Regular Shark
4064,Unprovoked,,F,"""middle-age""","FATAL, leg severed, other leg lacerated ",Y,,Injured,Regular Shark
4068,Invalid,The 240-ton motor vessel Pilar II with 100 people on board capsized in high winds & rough seas,M,10,"Navy personnel reported that his body was ""mutilated by sharks"" but it is probable that death resulted from drowning",,Shark involvement prior to death was not confirmed,Injured,Regular Shark
4070,Unprovoked,Spearfishing on Scuba,M,26,"FATAL, disappeared, dive gear & clothing found with teethmarks, presumed taken by a shark  ",Y,3.7 m [12'] shark,Injured,Regular Shark
4071,Provoked,Fishing,M,,Laceration to forearm by boated shark PROVOKED INCIDENT,N,5.5' shark,Injured,Regular Shark
4072,Sea Disaster,Fishing boat capsized ,,,"10 of the 15 people perished, bodies of some who drowned  were scavenged by sharks",Y,,Injured,Regular Shark
4074,Provoked,Fishing,M,,Laceration to arm PROVOKED INCIDENT,N,20 kg shark,Injured,Regular Shark
4075,Unprovoked,Swimming,M,13 or 18,"FATAL, left thigh bitten",Y,"Blue shark, 3 m [10']",Injured,Regular Shark
4076,Unprovoked,Standing,F,15,"4"" cut on left foot ",N,,Injured,Regular Shark
4078,Invalid,Scuba diving,M,34 & 19,Probable drowing. Shark involvement unconfirmed,,Shark involvement prior to death was not confirmed,Injured,Regular Shark
4080,Unprovoked,Spearfishing (but on surface),M,25,"14 punctures on right thigh, swim trunks torn",N,"Hammerhead shark, 1.8 m [6'] S. zygena identified by C. Limbaugh on description",Injured,Regular Shark
4081,Unprovoked,,M,22,"FATAL, right thigh bitten  ",Y,Blue shark?,Injured,Regular Shark
4084,Provoked,Dragging stranded shark ashore,M,,"Gietel grabbed the shark's tail, the shark lacerated his right ankle PROVOKED INCIDENT",N,"Blue shark, 1.8 m [6'] ",Injured,Regular Shark
4085,Sea Disaster,Columbian petrol barge Rio Atrato burned and sank,,27,"FATAL X 2, 8 others missing. Survivors fought off sharks & sharks seen biting 2 of the dead. The 39 survivors were rescued by the German freighter Essen",Y,,Injured,Regular Shark
4086,Provoked,Free diving,M,13,Arm bitten when he grabbed sharks tail  PROVOKED INCIDENT,N,"Nurse shark, 60 cm [24""], identified by Dr. L.P. L. Schultz on photograph",Injured,Regular Shark
4088,Unprovoked,Wading,M,,"FATAL, legs bitten ",Y,,Injured,Regular Shark
4089,Unprovoked,,M,,Leg injured,N,,Injured,Regular Shark
4090,Unprovoked,Swimming ashore from capsized boat,M,,FATAL,Y,,Injured,Regular Shark
4091,Unprovoked,Free diving for abalone,M,33,"FATAL, body not recovered",Y,"Reported to involve a White shark, 6 m to 7m [20' to 23'] ",Injured,White Shark
4092,Invalid,Swimming ,,,"Disappeared after diving in deep hole, body not recovered, presumed taken by a shark ",,Shark involvement prior to death was not confirmed,Injured,Regular Shark
4094,Unprovoked,,F,37,Minor injuries,N,1.2 m [4'] shark,Injured,Regular Shark
4095,Unprovoked,Treading water,M,18,"FATAL, left arm bitten, right arm partly severed, deep lacerations of left shoulder & chest ",Y,"White shark, 3 m [10']; identifed by Dr. W.I. Follett on tooth marks",Injured,White Shark
4096,Unprovoked,Spearfishing,M,19,Lacerated hip & hands,N,"Tiger shark, 3.7 m [12']",Injured,Tiger Shark
4097,Unprovoked,Jumped overboard to rescue a man,M,,Leg bitten,N,,Injured,Regular Shark
4098,Invalid,Spearfishing,M,22,Thigh lacerated,,Questionable incident,Injured,Regular Shark
4099,Unprovoked,Diving for pearl shell,M,43,Left hand lacerated when he tried to ward off shark,N,"Tiger shark, 1.8 m [6'] ",Injured,Tiger Shark
4100,Unprovoked,Fishing,M,,Survived,N,,Injured,Regular Shark
4101,Unprovoked,Fishing,M,,2 toes bitten off ,N,,Injured,Regular Shark
4102,Unprovoked,Spearfishing,M,,Swim fin bitten,N,,Injured,Regular Shark
4103,Unprovoked,Swimming,M,13,"Bumped, then knee bitten",N,,Injured,Regular Shark
4104,Unprovoked,Lifeboat capsized,M,20,"FATAL, body not recovered",Y,,Injured,Regular Shark
4105,Boat,"On boat, preparing to dive",M,,Boat followed shark; shark holed boat,N,Tiger shark 4.3 m [14'] ,Injured,Tiger Shark
4107,Unprovoked,Fell into water while attempting to boat a swordfish,M,,Left arm bitten,N,,Injured,Regular Shark
4108,Provoked,Fishing,M,,Arm bitten by shark that he thought was dead PROVOKED INCIDENT,N,3.7 m [12'] shark,Injured,Regular Shark
4109,Unprovoked,Bathing with sister,M,15,"FATAL, body not recovered",Y,,Injured,Regular Shark
4110,Unprovoked,Treading water,M,14,Leg severed below knee,N,1.8 to 2.1 m [6' to 7'] shark,Injured,Regular Shark
4111,Unprovoked,Working prawn net,M,20,Sharks tail grazed his shin,N,"Grey nurse shark, 1.8 m [6']",Injured,Regular Shark
4112,Unprovoked,Washed overboard into school of fish,M,57,Right leg & left foot lacerated,N,Bitten by several 1.8 m [6'] sharks,Injured,Regular Shark
4113,Unprovoked,Swimming with motor tube,M,16,Thigh bitten,N,,Injured,Regular Shark
4114,Unprovoked,In deep water about 100 yards from his ship,M,22,FATAL,Y,Said to involve 2 sharks: 5.2 m & 6 m [17' & 20'] ,Injured,Regular Shark
4115,Unprovoked,"Surfing, but treading water",M,17,Right foot & toe bitten,N,1.8 m [6'] shark,Injured,Regular Shark
4116,Unprovoked,Swimming,M,18,Thigh & both wrists lacerated,N,"White shark, 1.8 m to 2.1 m [6' to 7']  according to Shreuder and a witness",Injured,White Shark
4117,Unprovoked,Dragging banana seeds through the shallows,M,,Left calf & right thigh bitten,N,1.4 m [4.5'] shark,Injured,Regular Shark
4118,Unprovoked,Swimming ashore from fishing boat swamped and sunk by a squall,M,33 & 26,"Suttie's lower abdomen was bitten, Murray disappeared (presumed drowned)",Y,,Injured,Regular Shark
4119,Unprovoked,Spearfishing / free diving,M,,Abrasion,N,1.5 m [5'] shark,Injured,Regular Shark
4120,Unprovoked,Swimming,M,,FATAL,Y,White shark?,Injured,White Shark
4121,Unprovoked,,,,"5 people killed by sharks, 30 others injured",Y,1.5 m to 1.8 m [5' to 6'] sharks,Injured,Regular Shark
4122,Provoked,Paddling & sailing from Buenos Aires to Miami,M,,Hooked shark bit his arm PROVOKED INCIDENT,N,"Tiger shark, 12' ?",Injured,Tiger Shark
4123,Unprovoked,Spear fishing,M,,Minor injuries,N,,Injured,Regular Shark
4124,Unprovoked,Fishing,M,,Minor injuries,N,,Injured,Regular Shark
4125,Unprovoked,,M,,"FATAL, abdomen & leg bitten ",Y,,Injured,Regular Shark
4126,Provoked,Fishing,M,,Penis bitten while trying to drag speared shark to beach PROVOKED INCIDENT,N,,Injured,Regular Shark
4127,Boat,Fishing,,,Boat damaged,,White shark,Injured,White Shark
4128,Unprovoked,,,,Hip bitten,N,,Injured,Regular Shark
4129,Unprovoked,Swimming,M,14,FATAL,Y,,Injured,Regular Shark
4130,Unprovoked,Surfing on air mattress,M,15,"FATAL, leg severed  ",Y,"Tiger shark, 4.6 m to 7.6 m [15' to 25'] ",Injured,Tiger Shark
4131,Unprovoked,Cleaning hull of ship ,M,22,"FATAL, left thigh & hip bitten  ",Y,Tiger shark,Injured,Tiger Shark
4132,Unprovoked,Swimming,M,21,FATAL,Y,12' shark,Injured,Regular Shark
4134,Unprovoked,Spearfishing,M,,"FATAL, left arm & leg severed  ",Y,,Injured,Regular Shark
4136,Unprovoked,Swimming near jetty,M,15,"Left arm, hips & leg lacerated",N,,Injured,Regular Shark
4138,Provoked,Slapped shark on tail as it swam by,M,,Shark turned & severed his leg PROVOKED INCIDENT,N,,Injured,Regular Shark
4139,Unprovoked,Collecting shells,M,26,Leg & foot injured,N,,Injured,Regular Shark
4140,Unprovoked,"""Climbing up to ship after repairing the stern in water""",M,32,"FATAL, leg bitten ",Y,Blue shark,Injured,Regular Shark
4141,Unprovoked,Fishing,M,42,Right forearm lacerated,N,200-lb shark,Injured,Regular Shark
4142,Provoked,Spearfishing,M,20,Bitten by harpooned shark PROVOKED INCIDENT,N,,Injured,Regular Shark
4143,Boat,Boat stopped to repair electric pump,,,Shark tried to bite prop twice,N,"Hammerhead shark, 5.2 m [17'] ",Injured,Regular Shark
4144,Unprovoked,Swimming,F,,Leg injured,N,3 m shark,Injured,Regular Shark
4145,Unprovoked,Swimming,F,,FATAL,Y,,Injured,Regular Shark
4146,Unprovoked,"Swimming, ducking for shells in water 0.9 m deep",M,12,3 lacerations on leg,N,"Tiger shark, 1.5 m to 1.8 m [5' to 6'] ",Injured,Tiger Shark
4147,Unprovoked,"Swimming, ducking for shells in water 0.9 m deep",M,8,"Left hand and  leg bitten, leg surgically amputated below hip",N,"Tiger shark, 1.5 m to 1.8 m [5' to 6'] ",Injured,Tiger Shark
4148,Unprovoked,,M,35,FATAL  Autopsy report: bitten by shark while still alive,Y,,Injured,Regular Shark
4149,Unprovoked,Swimming,M,21,"FATAL, leg severed ",Y,,Injured,Regular Shark
4150,Sea Disaster,U.S. Airforce C124 enroute from Hickham Air Base to Japan went down. The 3 survivors fashioned raft from mailbags  & were rescued 3 days after the crash.,M,,FATAL,Y,Sharks averaged 1.8 m [6'] in length,Injured,Regular Shark
4151,Sea Disaster,U.S. Airforce C124 enroute from Hickham Air Base to Japan went down. The 3 survivors fashioned raft from mailbags  & were rescued 3 days after the crash.,M,31,Left shoulder bitten ,N,Sharks averaged 1.8 m [6'] in length,Injured,Regular Shark
4152,Provoked,Free diving,M,20,"He grabbed shark, it bit his leg below the knee PROVOKED INCIDENT",N,"Nurse shark, 1.5 m [5']  identified by Dr. E. Clark on description of shark",Injured,Regular Shark
4153,Unprovoked,Swimming,M,38,"FATAL, left arm severed ",Y,,Injured,Regular Shark
4155,Unprovoked,,M,,Both were bitten on feet by sharks,N,,Injured,Regular Shark
4156,Provoked,Wading,M,59,Right foot bitten when he walked into shark's head PROVOKED INCIDENT,N,"Nurse shark, 2.1 m [7']  identified by Dr. E. Clark on color & tooth impressions",Injured,Regular Shark
4157,Unprovoked,Walking,M,17,Lower left leg & foot bitten,N,Tiger shark?,Injured,Tiger Shark
